plot,movie_id
A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,0
"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as &quot;GoldenEye&quot; is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",1
Four interlocking tales that take place in a fading hotel on New Year's Eve.,2
"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",3
An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,4
Movie not found!,5
"A documentary following Terry Gilliam through the creation of ""12 Monkeys"" (1995)",6
"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",7
"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",8
The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,9
Movie not found!,10
Movie not found!,11
"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",12
Movie not found!,13
A frustrated composer finds fulfillment as a high school music teacher.,14
Movie not found!,15
"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",16
Movie not found!,17
"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",18
In the 1800s a naturalist marries into a family of British country gentry.,19
The Muppets' twist on the classic tale.,20
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,21
"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",22
Movie not found!,23
Movie not found!,24
Movie not found!,25
Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,26
NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,27
"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",28
A frigid young housewife decides to spend her midweek afternoons as a prostitute.,29
"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",30
An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,31
Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,32
Movie not found!,33
Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,34
The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,35
"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being ",36
N/A,37
A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,38
Movie not found!,39
"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",40
"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",41
"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",42
A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,43
Movie not found!,44
"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",45
"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",46
A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,47
"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",48
"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",49
"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",50
Movie not found!,51
Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,52
Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,53
Movie not found!,54
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",55
A priest disobeys church law to track down the vampires who kidnapped his niece.,56
"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",57
A model discovers a retired judge is keen on invading people's privacy.,58
Movie not found!,59
"After his wife divorces him, a Polish immigrant plots to get even with her.",60
"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",61
Movie not found!,62
Movie not found!,63
A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,64
A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,65
A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,66
"The carefree forest animals imagine spring will last forever. However, winter comes and the animals soon realize that their lives are in danger. What they need is a hero; what they need is Crow: The Legend.",67
"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",68
"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",69
Movie not found!,70
The next great psycho horror slasher has given a documentary crew exclusive access to his life as he plans his reign of terror over the sleepy town of Glen Echo.,71
"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",72
"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",73
"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...",74
"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",75
Movie not found!,76
"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",77
"French-Canadian filmmaker Jean-Daniel Lafond goes into the life of wanted terrorist David Belfield, an African American convert to Islam who was born in the United States and allegedly ...",78
"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",79
Movie not found!,80
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,81
"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",82
Movie not found!,83
Movie not found!,84
N/A,85
A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,86
A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,87
"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",88
A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,89
Movie not found!,90
"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",91
"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.",92
An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,93
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,94
"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",95
"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",96
Movie not found!,97
"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",98
Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,99
"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",100
Movie not found!,101
"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",102
"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.",103
"Sgt. Bilko is a well-liked conman in charge of the army base's motor pool, developing a hover tank and unofficially of gambling etc. One man hates Bilko and he's coming to inspect the base for possible closure.",104
The wife and mistress of the sadistic dean of an exclusive prep school conspire to murder him.,105
"The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive Priest lead Moll to rebel as a teenager, escaping to the dangerous streets of London. Furthe",106
"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",107
Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,108
"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",109
Movie not found!,110
A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,111
Movie not found!,112
A collection of some of the most popular work featuring Wallace and Gromit.,113
Movie not found!,114
"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.",115
"A down-on-his-luck music manager discovers a teenage girl with an extraordinary voice while on a music tour in Afghanistan and takes her to Kabul to compete on the popular television show, Afghan Star.",116
"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",117
A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,118
A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,119
Movie not found!,120
Movie not found!,121
Movie not found!,122
"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",123
"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",124
Movie not found!,125
"A thriller focusing on the rise of a group of influential and powerful gangsters. Ali is basically a shepherd who has shouldered responsibility of fending for his family, including his parents Fareed and Fatima, and his younger siste",126
This film is a comedy spoof based around 1980s America action movies and Cop shows. It is entirely set in one office and focuses on dialouge.,127
Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,128
A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,129
