movie_id,Plot
0,"In a world where toys are living things who pretend to be lifeless when humans are present, a group of toys, owned by six-year-old Andy Davis, are caught off-guard when Andy's birthday party is moved up a week, as Andy, his mother, and infant sister Molly, are preparing to move the following week. The toys' leader and Andy's favorite toy, a pull-string cowboy doll named Sheriff Woody, organizes the other toys, including Bo Peep the shepherdess, Mr. Potato Head, Rex the Dinosaur, Hamm the Piggy Bank, and Slinky Dog, into a scouting mission. Green army men, led by Sarge, spy on the party, and report the results to the others via baby monitors. The toys are relieved when the party appears to end with none of them having been replaced, but then Andy receives a surprise gift – an electronic toy space ranger action figure named Buzz Lightyear, who thinks he is an actual space ranger.
Buzz impresses the other toys with his various features, and Andy begins to favor him, making Woody feel left out. As Andy prepares for a family outing at Pizza Planet, his mother allows him to bring one toy. Fearing Andy will choose Buzz, Woody attempts to trap Buzz behind a desk, but ends up accidentally knocking him out a window, and the other toys rebel against Woody by accusing him of knocking Buzz out of jealousy. Before they can exact revenge, Andy takes Woody instead and leaves for Pizza Planet. When the family stops for gas, Woody finds that Buzz has hitched a ride on the car as well, and fight, only to find the family has left without them. They manage to make their way to the restaurant by stowing away on a pizza delivery truck, where Buzz, still thinking he is a real space ranger, despite Woody's attempts to convince him otherwise, gets them stuck in a crane game, where they are salvaged by Andy's mischievous neighbor, Sid Phillips.
Woody attempts to escape from Sid's house, but Buzz, finally realizing he is a toy after watching a Buzz Lightyear TV ad, sinks into despondency. Sid plans to launch Buzz on a firework rocket, but his plans are delayed by a thunderstorm. Woody tells Buzz about the joy he can bring to Andy as a toy, restoring his confidence. The next day, Woody and Sid's mutant toy creations rescue Buzz just as Sid is about to launch the rocket and scare Sid into no longer abusing toys by coming to life in front of him, and he runs into his house screaming in horror. Woody and Buzz then leave Sid's house just as Andy and his family drive away toward their new home.
The duo tries to make it to the moving truck, but Sid's dog, Scud, sees them, and gives chase. Buzz gets left behind while saving Woody from Scud, and Woody tries rescuing him with Andy's RC car, but the other toys, thinking Woody eliminated RC as well, attack and toss him off the truck. Having evaded Scud, Buzz and RC retrieve Woody, and continue after the truck. Upon seeing Woody and Buzz together on RC, the other toys realize their mistake, and try to help them get back aboard, but RC's batteries become depleted, stranding them. Woody ignites the rocket on Buzz's back and manages to throw RC into the truck before they soar into the air. Buzz opens his wings to free himself from the rocket before it explodes, gliding with Woody to land safely into a box in the car, right next to Andy.
On Christmas Day, at their new house, Woody and Buzz stage another reconnaissance mission to prepare for the new toy arrivals. As Woody jokingly asks what might be worse than Buzz, they discover Andy's new gift is a puppy, and the two share a worried smile."
1,"In 1986, at Arkhangelsk, MI6 agents James Bond and Alec Trevelyan infiltrate a Soviet chemical weapons facility and plant explosives. Trevelyan is captured and executed by Colonel Arkady Grigorovich Ourumov, but Bond flees as the facility explodes.
Nine years later, in Monte Carlo, Bond follows Xenia Onatopp, a member of the Janus crime syndicate, who has formed a suspicious relationship with Charles Farrel, a Canadian Navy admiral. As Onatopp crushes the admiral to death with her thighs during sex, his credentials are stolen by Ourumov, who uses them to board a French Navy destroyer with Onatopp to steal a Eurocopter Tiger helicopter. Ourumov and Onatopp later fly the helicopter to a bunker in Severnaya, Siberia, where they massacre the staff and steal the control disk for the GoldenEye satellites, two Soviet electromagnetic weapon satellites from the Cold War. They program the first GoldenEye (Petya) to destroy the complex, and escape with programmer Boris Grishenko. Natalya Simonova, the lone survivor, contacts Boris and arranges to meet him in Saint Petersburg, where he betrays her to Janus.
In London, M assigns Bond to investigate the attack. He flies to Saint Petersburg to meet CIA operative Jack Wade, who suggests that Bond meet with Valentin Zukovsky, a former KGB agent and business rival of Janus. Zukovsky arranges a meeting between Bond and Janus. Onatopp surprises Bond at the Grand Hotel Europe and attempts to kill him, but he overpowers her. She takes Bond to Janus, who reveals himself as Trevelyan; he faked his death at Arkhangelsk but was badly scarred by the explosion. A descendant of the Cossack clans who collaborated with the Nazi forces in the Second World War, Trevelyan had vowed revenge against the British after they betrayed the Cossacks, which drove his father to kill Trevelyan's mother and himself. Just as Bond is about to shoot Trevelyan, Bond is shot with a tranquilizer dart.
Bond awakens, tied up with Natalya in the helicopter, which has been programmed to self-destruct. They escape but are captured and transported to the Russian military archives, where Minister of Defence Dimitri Mishkin interrogates them. Just as Natalya reveals the existence of a second satellite and Ourumov's involvement in the Siberian massacre, Ourumov arrives and kills Mishkin. Intending to frame Bond for the murder, he calls the guards, but Bond and Natalya escape. In the ensuing firefight, Natalya is captured. Bond steals a tank and pursues Ourumov through St. Petersburg to Trevelyan's train, where he kills Ourumov. Trevelyan escapes and locks Bond in the train with Natalya, setting it to self-destruct. As Bond cuts through the floor with his laser watch, Natalya triangulates Grishenko's satellite dish to Cuba. The two escape just before the train explodes.
Bond and Natalya meet Wade in the Florida Keys and borrow his plane for the trip to Cuba, where the same night, they make love. The next day, while searching for GoldenEye's satellite dish, they are shot down. Onatopp rappels down from a helicopter and attacks Bond. After a fight ensues, Bond shoots down the helicopter, which snares Onatopp and crushes her to death against a tree. Bond and Natalya watch water draining out of a lake, uncovering the satellite dish. They infiltrate the control station, and Bond is captured. Trevelyan reveals his plan to rob the Bank of England before erasing all of its financial records with the second GoldenEye (Misha), concealing the theft and destroying Britain's economy.
Natalya programs the satellite to initiate atmospheric re-entry and destroy itself. As Trevelyan captures Natalya and orders Grishenko to save the satellite, Grishenko unwittingly triggers an explosion with Bond's pen grenade (received earlier from Q), which allows Bond to escape to the antenna cradle. Bond sabotages the antenna, preventing Grishenko from regaining control of the satellite. Bond and Trevelyan fight on the antenna's suspended platform, which finishes with Bond holding a dangling Trevelyan by his foot. Bond releases Trevelyan, who plummets into the dish. Seconds later the cradle explodes, killing Trevelyan and Grishenko. Natalya commandeers a helicopter and rescues Bond. It drops them in a field, where the couple are rescued by Wade and a team of Marines."
2,"The film is set on New Year's Eve, and starts with Sam (Marc Lawrence), the previous bellhop of the Hotel Mon Signor, briefing his replacement, Ted (Tim Roth), about the job.
The film's animated opening credits are inspired by the cartoons of The Pink Panther Show, and feature the scat song ""Vertigogo"" by Combustible Edsion.
Ted assists a number of unusual women with their luggage, which he takes up to the Honeymoon Suite. He learns they are a coven of witches, attempting to create a potion to reverse a spell cast on their goddess, Diana (Amanda De Cadenet) 40 years ago. In order to create it, they each must place an ingredient into a large cauldron in a ritual. However, one (Ione Skye) has still to retrieve her ingredient - semen - which she is told she must retrieve in one hour. She manages to seduce an initially reluctant Ted and has sex with him in the cauldron. After he leaves, they complete the ritual and Diana is seen emerging from the cauldron.
At the end of the segment, a guest from a hotel room party (Lawrence Bender) calls Ted at the front desk to get some ice. He is unsure about which floor the room is on, but eventually directs Ted to Room 404.
Upon arriving at Room 404, Ted finds himself in the middle of a fantasy hostage situation between a husband and wife. Sigfried (David Proval), the husband, maniacally accuses Ted (whom he calls Theodore) of having slept with his wife, Angela (Jennifer Beals). At gunpoint, Ted is made to participate in the scenario, with uncertainty about what is real and part of the fantasy. At one point, he is stuck in the bathroom window and the party guest from the beginning of the segment appears in the one above, uttering the word ""ice"" and vomiting. Eventually, Ted escapes just as a different party guest (Paul Skemp) appears, looking for Room 404 and is greeted by Sigfried in the same manner as Ted at the beginning of the segment.
It is not fully clear if these events take place in Room 404 or 409. The party guests' room is on the above floor, which suggests Sigfried's room is indeed Room 404. Adding to this uncertainty, the door reads ""40-"", with a faint outline of what appears to be a missing ""4"" or ""9"". However, Sigfried answers the phone at one point, which is later revealed to be a call connecting to Room 409.
A husband (Antonio Banderas) and wife (Tamlyn Tomita) go out to a New Year's Eve party and leave their two children, Sarah and Juancho (Lana McKissack and Danny Verduzco), in the hotel. Ted is paid $500 to keep an eye on them by their stern father, who orders them not to misbehave. As Ted is responsible for the entire hotel he can't actually stay in the room with them, but instead instructs them to do so and watch television. After he leaves, they soon begin to squabble and proceed to both explore and vandalize the room, and manage to explode a bottle of champagne in the process. They call Ted for toothbrushes, at which point he arrives and attempts unsuccessfully to put them to bed by putting ointment on their eyelids. After they wash them and summon him back once more, he arrives at a scene of mass chaos: a painting in the room, which they use to play darts with a syringe, has a target scribbled on it with lipstick, Juancho has a cigarette in his mouth, Sarah has a bottle of liquor in her hand, the television is set to an adult channel, and they have found the corpse of a dead prostitute (Patricia Vonne) stuffed in the box spring. While Ted tries to quell the chaos, Sarah stabs him in the leg with the syringe when he repeatedly uses the word ""whore"" and Juancho accidentally sets the room on fire with his cigarette. At this point, their father arrives, carrying his passed-out wife, and, looking around the room, asks Ted, ""Did they misbehave?""
After the events of Room 309, an unsettled Ted calls his boss, Betty (Kathy Griffin), to quit. After a prolonged conversation with Margaret (Marisa Tomei), he gets Betty on the phone and quits, but a call from the penthouse comes in. Betty reasons with him and convinces him to tend to their needs, due to the importance of continued Hollywood business to the hotel.
The penthouse is currently being occupied by the famous director Chester Rush (Tarantino) and a group of his friends, which includes Angela from The Wrong Man. The party requests a block of wood, a doughnut, a ball of twine, three nails, a club sandwich, a bucket of ice, and an extremely sharp hatchet (Rush specifically requests a hatchet ""as sharp as the Devil himself""). After getting acquainted with Chester and his friends, Ted is asked to take part in a challenge: Chester's friend, Norman (Paul Calderón), has bet he can light his Zippo cigarette lighter ten times in a row. If he succeeds, Norman will win Chester's car, but if he fails, Norman's pinky will be cut off. Ted is asked to ""wield the hatchet"" and cut off Norman's pinky, should he fail. He initially tries to leave, but Chester persuades him to stay by offering $100 up front and another $1,000 if he performs his assigned role. Norman's lighter fails on the first try, and Ted chops off his pinky, sweeps up all the money, and leaves the penthouse with an energetic step. While the credits are rolling, Chester and company are seen frantically getting ready to take a screaming, agonized Norman to the hospital."
3,"Chili Palmer, a loan shark based in Miami, clashes with another mobster, Ray ""Bones"" Barboni over a stolen coat. They have several confrontations, one of which leaves Barboni with a broken nose. But after Palmer's boss, Momo, dies of a heart attack, he finds himself working for Barboni, whose first order is for Palmer to collect a debt owed by Leo Devoe. Devoe was believed to have been killed in a fatal commercial airliner crash, but had actually gotten off the plane, and failed to re-board. After the plane crash, Devoe's wife identified his personal effects, and the airline offered her a check for $300,000. Chili visits her and discovers Leo is still alive, partying in Las Vegas.
While in Vegas, Palmer picks up a job from a casino manager to collect a debt from B-movie producer Harry Zimm. Palmer goes to Los Angeles and locates Zimm at the home of actress Karen Flores, breaking into her house. Zimm agrees to pay the money he owes in 90 days. Film fan Palmer then pitches an idea: a thinly veiled story of his own life, including the scam by Leo.
Zimm is interested, but he has financial problems: He owes $200,000 to drug dealer Bo Catlett, who also wants to be in the movie business. Palmer says he will help Zimm take care of it. Palmer tracks down Devoe and collects the $300,000 in insurance money. He hides it in an airport locker.
Palmer returns to Karen's house, where he asks Karen on a date. Karen is the ex-wife of actor Martin Weir, which gives Palmer the idea that Weir should star in his movie. He and Karen go to Weir's home to pitch the story idea, Chili giving the actor tips on how to act like a loan shark.
Catlett comes to Zimm's office for a progress report about the film he is supposedly financing. Waiting for him there instead is Palmer, who tells Catlett that Zimm has a different project he needs to finish first. Catlett and his sidekick Ronnie proceed to threaten Zimm, saying they want their money back and to get rid of Palmer or else.
Zimm makes a call to Barboni in Miami, telling him Chili has recovered the money from Leo Devoe and speaking to him rudely on the phone. Barboni promptly flies to Los Angeles, confronts Zimm in his office, and beats him mercilessly when Zimm does not reveal the location of Chili and the money. Ronnie walks in and Ray shoots him, then puts the gun in Zimm's hand.
Doris, Zimm's girlfriend, whose late husband wrote Mr. Lovejoy, calls Karen and tells her that Zimm is in the hospital. When he is eventually released, Zimm must wear a neck brace and remains in agonizing pain, even as he endures Weir's arrogant behavior in a brief lunch meeting with Chili and Karen about their movie project. At another restaurant, Zimm claims he doesn't need Chili's money anymore. Catlett's bodyguard, Bear, a movie stuntman on the side, is thrown down a flight of stairs by Chili.
Desperate for money, Catlett kidnaps Karen and demands the money that Chili has gotten back from Devoe. But after Chili gives him the money, Catlett reneges on their deal. Chili cuts a deal with Bear to double-cross Catlett. On a balcony at Catlett's home, where Karen is being held, Bear pretends to give Chili a beating, but it's a set-up. In the struggle, Catlett is pushed over a balcony rail that was previously loosened, falling to his death.
At his hotel, Barboni confronts Palmer, demanding the money. He finds an airport locker key and assumes the money is hidden in the locker. At the airport, upon opening the locker, a shocked Barboni is confronted by DEA agents.
On a Hollywood studio set, a film is being made. Harvey Keitel is playing Barboni and Martin Weir is playing Palmer. Penny Marshall is directing, with Zimm as executive producer, Chili and Karen as co-producers. Bear is a technical consultant. Chili and Karen are arguing with Weir's agent about Weir's appropriateness for another role."
4,"After giving a guest lecture on criminal psychology at a local university, Dr Helen Hudson (Weaver), a respected field expert on serial killers, is cornered in the restroom of the lecture hall by one of her previous subjects, Daryll Lee Cullum (Harry Connick Jr.), who kills a police officer and brutally attacks her. Helen becomes severely agoraphobic as a result, sealing herself inside an expensive hi-tech apartment, conducting her entire life from behind a computer screen and assisted by a friend, Andy (John Rothman).
When a new series of murders spreads fear and panic across her home city of San Francisco, Inspector M.J. Monahan (Hunter) and her partner Reuben Goetz (Dermot Mulroney) solicit Helen's expertise. Initially reluctant, Helen soon finds herself drawn into the warped perpetrator's game of wits. As the murders continue, Helen realizes that the elusive assailant draws inspiration from notorious serial killers, including Albert DeSalvo, The Hillside Strangler, David Berkowitz, Jeffrey Dahmer, and Ted Bundy. When the murderer begins contacting and even stalking Helen, she and M.J. realize that he is after them, and they enlist the aid of Cullum, who tells them what he knows about the killer.
Helen soon realizes that the Copycat Killer has been following the list of serial killers in the same order as she had presented them in her lecture at the university on the night of her attack, and the two work to figure out where and when he will strike next. Unfortunately, Reuben is later killed in an unrelated shooting incident at the police station, leaving M.J., now heartbroken that she never got to tell Reuben she loved him, to continue the search for the serial killer.
After Andy is killed in a manner reminiscent of Jeffrey Dahmer, M.J. deduces the killer to be Peter Foley (William McNamara). After leading a failed attempt to catch Foley at his house, M.J. discovers that he has kidnapped Helen and taken her back to the scene of Daryll Lee's attempt at killing her — the restroom of the lecture hall. Once she gets there, M.J. finds Helen bound, hanged and gagged in the same manner that Cullum did before, but she is ambushed and shot by Foley, rendering her unconscious. As Foley prepares to kill M.J., Helen desperately attempts to save her by ruining Foley's carefully replicated crime scene the only way she can—by attempting to hang herself. Foley panics and cuts Helen down, and Helen is able to get away and escape to the building's roof. Her agoraphobia kicks in again, and Helen finds herself cornered. Accepting her fate, she turns to face Foley. However, just as he is about to kill her, M.J. shoots him in the brachial nerve, giving him one last chance to surrender. When he pulls his gun back on her, however, she shoots him dead.
Some time later, Daryll Lee writes a letter to another serial killer, instructing him on how to kill Helen, and revealing that he had been aiding Foley all along. Daryll wishes ""good luck"" at his new proxy in the mission of killing Helen."
6,"A deadly virus released in 1996 wipes out almost all of humanity, forcing survivors to live underground. A group known as the Army of the Twelve Monkeys is believed to have released the virus. In 2035, James Cole is a prisoner living in a subterranean compound beneath the ruins of Philadelphia. Cole is selected to be trained and sent back in time to find the original virus in order to help scientists develop a cure. Meanwhile, Cole is troubled by recurring dreams involving a foot chase and shooting at an airport.
Cole arrives in Baltimore in 1990, not 1996 as planned. He is arrested, then hospitalized in a mental hospital on the diagnosis of Dr. Kathryn Railly. There he encounters Jeffrey Goines, a mental patient with fanatical views. Cole is interviewed by a panel of doctors, and he tries to explain that the virus outbreak has already happened, and nobody can change it. After an escape attempt, Cole is sedated and locked in a cell, but disappears moments later, and wakes up back in 2035. He is interrogated by the scientists, who play a distorted voicemail message that asserts the association of the Army of the Twelve Monkeys with the virus. He is also shown photos of numerous people suspected of being involved, including Goines. The scientists offer Cole a second chance to complete his mission and send him back in time. He arrives at a battlefield during World War I, is shot in the leg, and then is suddenly transported to 1996.
In 1996, Railly gives a lecture about the Cassandra complex to a group of scientists. At the post-lecture book signing, Dr. Peters tells Railly that apocalypse alarmists represent the sane vision, while humanity's gradual destruction of the environment is the real lunacy. Cole arrives at the venue after seeing flyers publicizing it, and when Railly departs, he kidnaps her and forces her to take him to Philadelphia. They learn that Goines is the founder of the Army of the Twelve Monkeys, and set out in search of him. When they confront him, however, Goines denies any involvement with the group and says that in 1990 Cole originated the idea of wiping out humanity with a virus stolen from Goines's virologist father.
About to be apprehended by police, Cole is transported back to 2035, where he reaffirms to the scientists his commitment to his mission. But when he finds Railly again in 1996, he tells her he now believes himself insane. Railly, meanwhile, has discovered evidence of his time travel, which she shows him. They decide to depart for the Florida Keys before the onset of the plague. On their way to the airport, they learn that the Army of the Twelve Monkeys was not the source of the epidemic; the group's major act of protest is releasing animals from a zoo and placing Goines's father in an animal cage.
At the airport, Cole leaves a last message telling the scientists that in following the Army of the Twelve Monkeys they are on the wrong track, and that he will not return. He is soon confronted by Jose, an acquaintance from his own time, who gives Cole a handgun and ambiguously instructs him to follow orders. At the same time, Railly spots Dr. Peters, and recognizes him from a newspaper photograph as an assistant at Goines's father's virology lab. Peters is about to embark on a tour of several cities that match the locations and sequence of the viral outbreaks.
Cole forces his way through a security checkpoint in pursuit of Peters. After drawing the gun he was given, Cole is fatally shot by police. As Cole lies dying in Railly's arms, Railly makes eye contact with a small boy—the young James Cole witnessing the scene of his own death, which will replay in his dreams for years to come. Peters, aboard the plane with the virus, sits down next to Jones, one of the future scientists."
7,"Babe, an orphaned piglet, is chosen for a ""guess the weight"" contest at a county fair. The winning farmer, Arthur Hoggett, brings him home and allows him to stay with a Border Collie named Fly, her mate Rex and their puppies, in the barn.
A duck named Ferdinand, who crows as roosters are said to every morning to wake people so he will be considered useful and be spared from being eaten, persuades Babe to help him destroy the alarm clock that threatens his mission. Despite succeeding in this, they wake Duchess, the Hoggetts' cat, and in the confusion accidentally destroy the living room. Rex sternly instructs Babe to stay away from Ferdinand (now a fugitive) and the house. Sometime later, when Fly's puppies are put up for sale, Babe asks if he can call her ""Mom"".
Christmas brings a visit from the Hoggetts' relatives. Babe is almost chosen for Christmas dinner but a duck is picked instead after Hoggett remarks to his wife Esme that Babe may bring a prize for ham at the next county fair. On Christmas Day, Babe justifies his existence by alerting Hoggett to sheep rustlers stealing sheep from one of the fields. The next day, Hoggett sees Babe sort the hens, separating the brown from the white ones. Impressed, he takes him to the fields and allows him to try and herd the sheep. Encouraged by an elder ewe named Maa, the sheep cooperate, but Rex sees Babe's actions as an insult to sheepdogs and confronts Fly in a vicious fight for encouraging Babe. He injures her leg and accidentally bites Hoggett's hand when he tries to intervene. Rex is then chained to the dog house, muzzled and sedated, leaving the sheep herding job to Babe.
One morning, Babe is awakened by the sheep's cries and finds three dogs attacking them. Though he manages to scare them off, Maa is mortally injured and dies as a result. Hoggett arrives and, thinking that Babe killed her, prepares to shoot him. Fly is so anxious to find out whether he is guilty or innocent that, instead of barking orders at the sheep, she talks to them to find out what happened. Learning the truth, she barks to distract Hoggett, delaying him until Esme mentions that the police say feral dogs have been killing sheep on neighboring farms and asks him why he has taken his shotgun out.
When Esme leaves on a trip, Hoggett signs Babe up for a local sheepherding competition. As it is raining the night before, Hoggett lets him and Fly into the house. However, Duchess scratches him when he tries to speak to her, so Hoggett immediately confines her outside. When she is let back in later, she gets revenge on Babe by revealing that humans eat pigs. Horrified, he runs out to the barn and learns from Fly that this is true. The next morning, Fly discovers that Babe has run away. She and Rex alert Hoggett and they all search for him. Rex finds him in a cemetery and Hoggett brings him home. However, he is still demoralized and refuses to eat. Hoggett gives him a drink from a baby bottle, sings to him ""If I Had Words"" and dances a jig for him. This restores Babe's faith in Hoggett's affection and he begins eating again.
At the competition, Babe meets the sheep that he will be herding, but they ignore his attempts to speak to them. As Hoggett is criticized by the bemused judges and ridiculed by the public for using a pig instead of a dog, Rex runs back to the farm to ask the sheep what to do. They give him a secret password, first extracting a promise that he will treat them better from now on. He returns in time to convey the password to Babe, and the sheep now follow his instructions flawlessly. Amid the crowd's acclamation, he is unanimously given the highest score. While he sits down next to the farmer, Hoggett praises him by saying, ""That'll do, Pig. That'll do."""
8,"Matthew Poncelet has been in prison for six years, awaiting his execution after being sentenced to death for killing a teenage couple. Poncelet, held in the Louisiana State Penitentiary, committed the crimes with a man named Carl Vitello, who was sentenced to life imprisonment. As the day of his execution comes closer, Poncelet asks Sister Helen, with whom he has corresponded, to help him with a final appeal.
She decides to visit him. He is arrogant, sexist, and racist, not even pretending to feel any kind of remorse. He affirms his innocence, insisting Vitello killed the two teenagers. Convincing an experienced attorney to take on Poncelet's case pro bono, Sister Helen tries to have his sentence commuted to life imprisonment. After many visits, she establishes a special relationship with him. At the same time, she gets to know Poncelet’s mother, Lucille, and the families of the two victims. The families do not understand Sister Helen's efforts to help Poncelet, claiming she is ""taking his side."" Instead they desire ""absolute justice""—his life for the lives of their children.
Sister Helen’s application for a pardon is declined. Poncelet asks Sister Helen to be his spiritual adviser through the day of execution, and she agrees. Sister Helen tells Poncelet that his redemption is possible only if he takes responsibility for what he did. Just before he is taken from his cell, Poncelet admits to Sister Helen that he killed the boy and raped the girl. As he is prepared for execution, he appeals to the boy's father for forgiveness and tells the girl's parents he hopes his death brings them peace. Poncelet is executed by lethal injection and later given a proper burial. The murdered boy's father attends the ceremony still filled with hate, but shortly after begins to pray with Sister Helen, ending the film."
9,"King Edward IV of England (Sir Cedric Hardwicke) has been placed on the throne with the help of his brother, Richard, Duke of Gloucester (Sir Laurence Olivier). After Edward's coronation in the Great Hall, with his brothers George and Richard watching, he leaves with his wife and sons. Richard contemplates the throne, before advancing towards the audience and then addressing them, delivering a speech that outlines his physical deformities, including a hunched back and a withered arm. He goes on to describe his jealousy over his brother's rise to power in contrast to his lowly position.
He dedicates himself to task and plans to frame his brother, George, Duke of Clarence (Sir John Gielgud), for conspiring to kill the King, and to have George sent to the Tower of London, by claiming George will murder Edward's heirs. He then tells his brother he will help him get out. Having confused and deceived the King, Richard proceeds with his plans after getting a warrant, and enlists two ruffians (Michael Gough and Michael Ripper) to carry out his dirty work: George is murdered, drowned in a butt of wine. Though Edward had sent a pardon to Richard, Richard stopped it passing. Richard goes on to woo and seduce the Lady Anne (Claire Bloom), and though she hates him for killing her husband and father, she cannot resist and ends up marrying him.
Richard then orchestrates disorder in the court, fueling rivalries, and setting the court against the Queen consort, Elizabeth (Mary Kerridge). The King, weakened by exhaustion, appoints his brother, Richard, as Lord Protector, and dies soon after hearing of the death of George. Edward's son, soon to become Edward V (Paul Huson), is met by Richard whilst en route to London. Richard has the Lord Chamberlain, Lord Hastings (Alec Clunes) arrested and executed, and forces the young King, along with his younger brother the Duke of York (Andy Shine), to have a protracted stay at the Tower of London.
With all obstacles now removed, Richard enlists the help of his cousin the Duke of Buckingham (Sir Ralph Richardson) to alter his public image, and to become popular with the people. In doing so, Richard becomes the people's first choice to become the new King.
Buckingham had aided Richard on terms of being given the title of Earl of Hereford and its income, but balks at the idea of murdering the two princes. Richard then asks a minor knight, Sir James Tyrrel (Patrick Troughton), eager for advancement, to have young Edward and the Duke of York killed in the Tower of London. Buckingham, having requested his earldom at Richard's coronation, fears for his life when Richard (angry at Buckingham for not killing the princes) shouts ""I am not in the giving vein today!"" Buckingham then joins the opposition against Richard's rule.
Richard, now fearful because of his dwindling popularity, raises an army to defend his throne and the House of York against the House of Lancaster, led by the Earl of Richmond Henry VII of England (Sir Stanley Baker), at Bosworth Field. Before the battle, however, Buckingham is captured and executed.
On the eve of the battle, Richard is haunted by the ghosts of all those he has killed in his bloody ascent to the throne, and he wakes up screaming. Richard composes himself, striding out to plan the battle for his generals, and gives a motivational speech to his troops.
The two forces engage in battle, with the Lancastarians having the upper hand. Lord Stanley (Laurence Naismith), whose loyalties had been questionable for some time, betrays Richard, and allies himself with Henry. Richard sees this and charges into the thick of battle, side-by-side with his loyal companion Sir William Catesby (Norman Wooland) to kill Richmond and end the battle quickly. Eventually Richard spots Richmond and they briefly engage in a duel before being interrupted by Stanley's men. Richard and Catesby are able to escape the oncoming forces, but, in doing so, Richard is knocked off his horse, loses his cherished crown, and becomes separated from Catesby, who is off seeking rescue. Searching desperately for Richmond, whom he has lost sight of, Richard cries out: ""A horse! A horse! My kingdom for a horse!"" Catesby finds the king and offers him withdrawal, but Richard refuses to flee. Catesby is then killed by Richmond's men without Richard noticing. Richard then spots Lord Stanley, and engages him in single combat. Before a victor can emerge, the Lancastarian troops charge Richard, and fatally wound him. The wounded murderous king convulses in spasms, offering his sword to the sky, and eventually dies of his wounds. Stanley orders Richard's body to be taken away and then finds Richard's crown in a thorn bush. He then proceeds to offer it to Henry, leaving the crown of England in safe hands once again."
12,"The film opens on ancient Greek ruins where a chanting Greek chorus introduces and narrates the story of Lenny Weinrib. Lenny is a sportswriter in Manhattan, married to ambitious curator Amanda. The couple decide to adopt a baby, a boy they name Max. Lenny is awed by their son who, it becomes increasingly clear, is a gifted child.
Lenny becomes obsessed with learning the identity of Max's biological mother. After a long search, Lenny is disturbed to find that she is a prostitute and part-time porn star, who uses several names but confesses her birth name is Leslie, and she likes ""Linda"" because it means beautiful in Spanish, so her current porn star name is Linda Ash. Lenny makes an ""appointment"" to see her at her apartment. Linda is a bit of a ditz with a crude sense of humor and delusions of becoming a stage actress. Lenny does not have intercourse with her but instead urges her to get away from prostitution and start a wholesome life. Linda becomes angry, refunds Lenny's money, and forces him to leave. Lenny, however, is determined to befriend her and improve her life. He first manages to get Linda away from her violent pimp and then attempts to pair Linda with a former boxer, Kevin. They appear to be a well-suited couple until Kevin discovers Linda's background.
Meanwhile, Lenny and Amanda have been drifting apart, due to Lenny's obsession with Linda, but also Amanda's career and her affair with her colleague Jerry (Peter Weller). Amanda tells Lenny she wants to explore her relationship with Jerry. Lenny and Linda console each other over their break-ups, and end up finally engaging in intercourse. However, the next day Lenny reconciles with Amanda, and they realize that they are still in love. Linda tries unsuccessfully to get back with Kevin but on the drive back to Manhattan, she sees a helicopter dropping out of the sky. She pulls over and gives the pilot, Don, a ride. It is revealed by the Greek chorus that they will end up married, although Linda is now pregnant with Lenny's child.
Some years later, Linda (with her daughter) and Lenny (with Max) meet in a toy store. They both have each other's children but do not realize it. Linda thanks Lenny for everything he did to help her and then leaves Lenny dumbstruck. The film ends with the Greek chorus singing and dancing."
